dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber
CME,CME 107,LEC,2,1.5,False,2,,,284
CME,CME 193,WKS,2,1.5,False,98,,,285
CME,CME 195,WKS,2,1.5,False,17,,,286
CME,CME 197,WKS,2,1.5,False,6,,,287
CEE,CEE 6,LEC,2,1.5,False,26,,,288
CEE,CEE 32Q,ISS,1,2,False,8,,,289
CEE,CEE 102W,PRA,2,1.5,False,2,,,290
CEE,CEE 107A,LEC,3,1.5,False,37,,,291
CEE,CEE 114,LEC,2,1.5,False,9,,,292
CEE,CEE 122B,,1,1,False,0,,,293
CEE,CEE 122B,,1,3,False,0,293,,294
CEE,CEE 126Z,SEM,1,1,False,13,,,295
CEE,CEE 131D,PRA,2,3,False,5,,,296
CEE,CEE 137B,LEC,2,3,False,4,,,297
CEE,CEE 141C,SEM,1,2,False,1,,,298
CEE,CEE 157,SEM,1,1.5,False,20,,,299
CEE,CEE 162E,LEC,3,1.5,False,3,,,300
CEE,CEE 165H,LEC,2,1.5,False,2,,,301
CEE,CEE 172,LEC,3,1,False,29,,,302
CEE,CEE 176B,LEC,2,1.5,False,48,,,303
CEE,CEE 177Q,LEC,2,2,False,1,,,304
CEE,CEE 177S,SEM,2,1.5,False,4,,,305
CEE,CEE 180,LEC,2,2,False,9,,,306
CEE,CEE 183,LEC,2,3,False,7,,,307
CEE,CEE 192,LAB,2,1.5,False,1,,,308
EE,EE 65,LEC,3,1,False,43,,,309
EE,EE 101B,LEC,3,1,False,30,,,310
EE,EE 102B,LEC,3,1.5,False,27,310,,311
EE,EE 104,LEC,2,1.5,False,24,,,312
EE,EE 109,LEC,3,1,False,6,,,313
EE,EE 142,LEC,2,1.5,False,17,,,314
EE,EE 178,LEC,2,1.5,False,29,,,315
EE,EE 180,LEC,2,1.5,False,68,,,316
EE,EE 185,,1,1.5,False,0,,,317
EE,EE 267W,LEC,2,1.5,False,5,,,318
CS,CS 52,LEC,2,2,False,14,,,319
CS,CS 81SI,ACT,1,1.5,False,17,,,320
CS,CS 82SI,ACT,1,1.5,False,9,320,,321
CS,CS 102,LEC,2,1.5,False,137,,,322
CS,CS 103,LEC,3,1.5,False,475,,,323
CS,CS 105,LEC,3,1,False,79,,322,324
CS,CS 105,,1,1.5,False,0,324,,325
CS,CS 105,,1,1.5,False,0,324,,326
CS,CS 106A,LEC,3,1,False,666,,,327
CS,CS 106A,,1,1,False,0,327,,328
CS,CS 106A,,1,1,False,0,327,,329
CS,CS 106A,,1,1,False,0,327,,330
CS,CS 106A,,1,1,False,0,327,,331
CS,CS 106A,,1,1,False,0,327,,332
CS,CS 106A,,1,1,False,0,327,,333
CS,CS 106A,,1,1,False,0,327,,334
CS,CS 106A,,1,1,False,0,327,,335
CS,CS 106A,,1,1,False,0,327,,336
CS,CS 106A,,1,1,False,0,327,,337
CS,CS 106A,,1,1,False,0,327,,338
CS,CS 106A,,1,1,False,0,,,339
CS,CS 106A,,1,1,False,0,,,340
CS,CS 106A,,1,1,False,0,,,341
CS,CS 106A,,1,1,False,0,,,342
CS,CS 106A,,1,1,False,0,,,343
CS,CS 106A,,1,1,False,0,,,344
CS,CS 106A,,1,1,False,0,,,345
CS,CS 106A,,1,1,False,0,,,346
CS,CS 106A,,1,1,False,0,,,347
CS,CS 106A,,1,1,False,0,,,348
CS,CS 106A,,1,1,False,0,,,349
CS,CS 106A,,1,1,False,0,,,350
CS,CS 106A,,1,1,False,0,,,351
CS,CS 106A,,1,1,False,0,,,352
CS,CS 106A,,1,1,False,0,,,353
CS,CS 106A,,1,1,False,0,,,354
CS,CS 106A,,1,1,False,0,,,355
CS,CS 106A,,1,1,False,0,,,356
CS,CS 106A,,1,1,False,0,,,357
CS,CS 106A,,1,1,False,0,,,358
CS,CS 106A,,1,1,False,0,,,359
CS,CS 106A,,1,1,False,0,,,360
CS,CS 106A,,1,1,False,0,,,361
CS,CS 106A,,1,1,False,0,,,362
CS,CS 106A,,1,1,False,0,,,363
CS,CS 106A,,1,1,False,0,,,364
CS,CS 106A,,1,1,False,0,,,365
CS,CS 106A,,1,1,False,0,,,366
CS,CS 106A,,1,1,False,0,,,367
CS,CS 106A,,1,1,False,0,,,368
CS,CS 106A,,1,1,False,0,,,369
CS,CS 106A,,1,1,False,0,,,370
CS,CS 106A,,1,1,False,0,,,371
CS,CS 106A,,1,1,False,0,,,372
CS,CS 106A,,1,1,False,0,,,373
CS,CS 106A,,1,1,False,0,,,374
CS,CS 106A,,1,1,False,0,,,375
CS,CS 106A,,1,1,False,0,,,376
CS,CS 106A,,1,1,False,0,,,377
CS,CS 106A,,1,1,False,0,,,378
CS,CS 106A,,1,1,False,0,,,379
CS,CS 106A,,1,1,False,0,,,380
CS,CS 106A,,1,1,False,0,,,381
CS,CS 106A,,1,1,False,0,,,382
CS,CS 106A,,1,1,False,0,,,383
CS,CS 106A,,1,1,False,0,,,384
CS,CS 106A,,1,1,False,0,,,385
CS,CS 106A,,1,1,False,0,,,386
CS,CS 106A,,1,1,False,0,,,387
CS,CS 106A,,1,1,False,0,,,388
CS,CS 106A,,1,1,False,0,,,389
CS,CS 106A,,1,1,False,0,,,390
CS,CS 106A,,1,1,False,0,,,391
CS,CS 106A,,1,1,False,0,,,392
CS,CS 106A,,1,1,False,0,,,393
CS,CS 106A,,1,1,False,0,,,394
CS,CS 106A,,1,1,False,0,,,395
CS,CS 106A,,1,1,False,0,,,396
CS,CS 106A,,1,1,False,0,,,397
CS,CS 106A,,1,1,False,0,,,398
CS,CS 106A,,1,1,False,0,,,399
CS,CS 106A,,1,1,False,0,,,400
CS,CS 106A,,1,1,False,0,,,401
CS,CS 106A,,1,1,False,0,,,402
CS,CS 106A,,1,1,False,0,,,403
CS,CS 106A,,1,1,False,0,,,404
CS,CS 106A,,1,1,False,0,,,405
CS,CS 106A,,1,1,False,0,,,406
CS,CS 106A,,1,1,False,0,,,407
CS,CS 106A,,1,1,False,0,,,408
CS,CS 106A,,1,1,False,0,,,409
CS,CS 106A,,1,1,False,0,,,410
CS,CS 106A,,1,1,False,0,,,411
CS,CS 106A,,1,1,False,0,,,412
CS,CS 106A,,1,1,False,0,,,413
CS,CS 106A,,1,1,False,0,,,414
CS,CS 106A,,1,1,False,0,,,415
CS,CS 106A,,1,1,False,0,,,416
CS,CS 106A,,1,1,False,0,,,417
CS,CS 106A,,1,1,False,0,,,418
CS,CS 106A,,1,1,False,0,,,419
CS,CS 106A,,1,1,False,0,,,420
CS,CS 106A,,1,1,False,0,,,421
CS,CS 106A,,1,1,False,0,,,422
CS,CS 106A,,1,1,False,0,,,423
CS,CS 106A,,1,1,False,0,,,424
CS,CS 106A,,1,1,False,0,,,425
CS,CS 106A,,1,1,False,0,,,426
CS,CS 106A,,1,1,False,0,,,427
CS,CS 106A,,1,1,False,0,,,428
CS,CS 106A,,1,1,False,0,,,429
CS,CS 106A,,1,1,False,0,,,430
CS,CS 106A,,1,1,False,0,,,431
CS,CS 106B,LEC,3,1,False,575,,327,432
CS,CS 106E,LEC,3,1,False,114,,,433
CS,CS 106L,LAB,2,1.5,False,47,433,,434
CS,CS 106S,LAB,1,2,False,10,433,,435
CS,CS 107,LEC,2,2,False,401,,,436
CS,CS 107A,LAB,1,3,False,35,436,,437
CS,CS 107E,LEC,2,1.5,False,19,436,,438
CS,CS 109,LEC,3,1.5,False,362,,,439
CS,CS 109,,1,1,False,0,439,,440
CS,CS 109,,1,1,False,0,439,,441
CS,CS 109,,1,1,False,0,439,,442
CS,CS 109,,1,1,False,0,439,,443
CS,CS 109,,1,1,False,0,439,,444
CS,CS 109,,1,1,False,0,439,,445
CS,CS 109,,1,1,False,0,439,,446
CS,CS 109,,1,1,False,0,439,,447
CS,CS 109,,1,1,False,0,439,,448
CS,CS 109,,1,1,False,0,,,449
CS,CS 109,,1,1.5,False,0,,,450
CS,CS 109,,1,1.5,False,0,,,451
CS,CS 109,,1,1.5,False,0,,,452
CS,CS 109,,1,1,False,0,,,453
CS,CS 109,,1,1,False,0,,,454
CS,CS 109,,1,1,False,0,,,455
CS,CS 109,,1,1,False,0,,,456
CS,CS 109,,1,1,False,0,,,457
CS,CS 109,,1,1.5,False,0,,,458
CS,CS 109,,1,1.5,False,0,,,459
CS,CS 109,,1,1.5,False,0,,,460
CS,CS 109,,1,1,False,0,,,461
CS,CS 109,,1,1,False,0,,,462
CS,CS 109,,1,1,False,0,,,463
CS,CS 109,,1,1,False,0,,,464
CS,CS 109,,1,1,False,0,,,465
CS,CS 109,,1,1,False,0,,,466
CS,CS 109,,1,1,False,0,,,467
CS,CS 109,,1,1,False,0,,,468
CS,CS 109,,1,1,False,0,,,469
CS,CS 109,,1,1,False,0,,,470
CS,CS 109,,1,1,False,0,,,471
CS,CS 109,,1,1,False,0,,,472
CS,CS 109,,1,1,False,0,,,473
CS,CS 109,,1,1,False,0,,,474
CS,CS 109,,1,1,False,0,,,475
CS,CS 110,LEC,3,1,False,456,,,476
CS,CS 110,LEC,3,1,False,23,476,,477
CS,CS 110,,1,1,False,0,476,,478
CS,CS 110,,1,1,False,0,477,,479
CS,CS 110,,1,1,False,0,476,,480
CS,CS 110,,1,1,False,0,476,,481
CS,CS 110,,1,1,False,0,476,,482
CS,CS 110,,1,1,False,0,476,,483
CS,CS 110,,1,1,False,0,476,,484
CS,CS 110,,1,1,False,0,,,485
CS,CS 110,,1,1,False,0,,,486
CS,CS 110,,1,1,False,0,,,487
CS,CS 110L,LAB,2,1,False,23,,477,488
CS,CS 140,LEC,3,1,False,116,,,489
CS,CS 140,,1,1,False,0,489,,490
CS,CS 140,,1,1,False,0,489,,491
CS,CS 142,LEC,3,1,False,192,,,492
CS,CS 142,,1,1,False,0,492,,493
CS,CS 142,,1,1,False,0,492,,494
CS,CS 142,,1,1,False,0,492,,495
CS,CS 143,LEC,2,1.5,False,137,,,496
CS,CS 151,LEC,2,1.5,False,47,,,497
CS,CS 155,LEC,2,1.5,False,182,,,498
CS,CS 155,,1,1,False,0,498,,499
CS,CS 166,LEC,2,1.5,False,56,,,500
CS,CS 168,LEC,2,1.5,False,305,,500,501
CS,CS 181,LEC,2,1.5,False,20,,,502
CS,CS 181,,1,1,False,0,502,,503
CS,CS 181,,1,1,False,0,502,,504
CS,CS 181,,1,1,False,0,502,,505
CS,CS 181,,1,1.5,False,0,502,,506
CS,CS 181,,1,1,False,0,502,,507
CS,CS 181,,1,1,False,0,502,,508
CS,CS 181,,1,1,False,0,502,,509
CS,CS 181W,LEC,2,1.5,False,93,502,,510
CS,CS 184,LEC,1,1.5,False,19,,,511
CS,CS 193P,LEC,2,1.5,False,29,,,512
CS,CS 193X,LEC,2,1.5,False,67,,,513
CS,CS 194,LEC,2,1.5,False,18,,,514
CS,CS 194A,LAB,1,1.5,False,29,514,,515
CS,CS 194W,LEC,2,1.5,False,39,514,,516
CS,CS 198,LEC,1,2,False,2,,,517
CS,CS 198,,1,2,False,0,517,,518
CS,CS 198,,1,2,False,0,517,,519
CS,CS 198,,1,2,False,0,517,,520
CS,CS 230,LEC,1,1.5,False,261,,,521
CS,CS 230,,1,1.5,False,0,521,,522
CS,CS 230,,1,1.5,False,0,521,,523
CS,CS 230,,1,1.5,False,0,521,,524
CS,CS 230,,1,1.5,False,0,521,,525
CS,CS 230,,1,1.5,False,0,521,,526
CS,CS 230,,1,1.5,False,0,521,,527
CS,CS 230,,1,1.5,False,0,521,,528
CS,CS 230,,1,1.5,False,0,521,,529
CS,CS 278,LEC,2,1,False,193,,,530
ENGR,ENGR 14,LEC,2,1.5,False,98,,,531
ENGR,ENGR 15,LEC,2,1.5,False,87,,531,532
ENGR,ENGR 21,LEC,2,1.5,False,53,,,533
ENGR,ENGR 40M,LEC,3,1.5,False,202,,,534
ENGR,ENGR 50,LEC,3,1.25,False,42,,,535
ENGR,ENGR 62,LEC,2,1.5,False,5,,,536
ENGR,ENGR 62,DIS,1,1.5,False,3,536,,537
ENGR,ENGR 80,LEC,3,1,False,34,,,538
ENGR,ENGR 102W,PRA,2,1.5,False,9,,,539
ENGR,ENGR 103,PRA,1,2.5,False,12,,,540
ENGR,ENGR 103,PRA,1,2.5,False,6,,,541
ENGR,ENGR 103,PRA,1,2.5,False,5,,,542
ENGR,ENGR 103,PRA,1,2.5,False,3,,,543
ENGR,ENGR 103,PRA,1,2.5,False,2,,,544
ENGR,ENGR 105,LEC,2,1.5,False,50,,,545
ENGR,ENGR 140A,SEM,2,2,False,12,,,546
ENGR,ENGR 145,LEC,2,1.5,False,52,,,547
ENGR,ENGR 154,LEC,2,2,False,1,,,548
ENGR,ENGR 155A,,2,2,False,0,,,549
ENGR,ENGR 155B,LEC,2,2,False,4,548,549,550
ENGR,ENGR 177B,SEM,2,1.5,False,3,,,551
ENGR,ENGR 193,SEM,1,1.5,False,4,,,552
MS&E,CHEM 134,,1,4,False,0,,,553
MS&E,CHEM 134,,1,4,False,0,,,554
MS&E,CHEM 134,,1,4,False,0,,,555
MS&E,CHEM 134,,1,4,False,0,553,554,556
MS&E,ENGR 140A,SEM,2,2,False,12,,,557
MS&E,MS&E 93Q,ISS,1,3,False,12,,,558
MS&E,MS&E 111,LEC,2,1.5,False,116,,,559
MS&E,MS&E 111,DIS,1,1.5,False,86,559,,560
MS&E,MS&E 121,LEC,2,2,False,63,,,561
MS&E,MS&E 140,LEC,2,2,False,37,,,562
MS&E,MS&E 152,LEC,2,1.5,False,128,,,563
MS&E,MS&E 178,LEC,2,1,False,44,,,564
MS&E,MS&E 182B,,3,2,False,0,,,565
MS&E,MS&E 184,LEC,2,2,False,67,,,566
MS&E,MS&E 190,LEC,2,1.5,False,25,,,567
MATSCI,MATSCI 81N,ISF,2,1.5,False,8,,,568
MATSCI,MATSCI 90Q,ISS,2,1.5,False,19,,,569
MATSCI,MATSCI 142,LEC,3,1,False,22,,,570
MATSCI,MATSCI 144,LEC,2,1.5,False,27,,,571
MATSCI,MATSCI 160,LAB,1,1.5,False,9,,,572
MATSCI,MATSCI 190,LEC,2,1.5,False,4,,,573
MATSCI,MATSCI 197,,2,1.5,False,0,,,574
MATSCI,MATSCI 197,,1,1.5,False,0,574,,575
MATSCI,MATSCI 198,LEC,2,1.5,False,2,,,576
MATSCI,MATSCI 199,,2,1.5,False,0,,,577
ME,ME 2,LAB,1,1,False,9,,,578
ME,ME 70,LEC,2,1.5,False,69,,,579
ME,ME 80,LEC,2,1.5,False,80,,583,580
ME,ME 101,LEC,2,2,False,26,,,581
ME,ME 102,LAB,2,1.5,False,60,581,583,582
ME,ME 103,LEC,2,3,False,12,,,583
ME,ME 104,LEC,3,2,False,90,,,584
ME,ME 104B,SEM,1,2,False,47,584,,585
ME,ME 104S,SEM,1,2,False,4,584,,586
ME,ME 110,PRC,1,2.5,False,22,,,587
ME,ME 110,PRC,1,2.5,False,11,,,588
ME,ME 115C,LEC,2,1.5,False,52,,,589
ME,ME 120,LEC,3,1,False,88,,,590
ME,ME 123,LEC,2,1.5,False,20,,,591
ME,ME 127,LEC,2,1.5,False,37,,,592
ME,ME 128,LEC,1,1.5,False,7,,,593
ME,ME 133,LEC,3,1,False,7,,,594
ME,ME 152,LEC,2,1.5,False,25,,,595
ME,ME 195A,SEM,1,1.5,False,9,,,596
ME,ME 216C,LEC,2,2,False,52,,,597
